candidate_id,network_group,live_conversations,policy,recommended_apply_hours,recommended_network_hours,recommended_portfolio_hours,expected_weekly_hires_contribution,ev_lower_90,ev_upper_90
C0001,low,2,outcome,6.59,19.2,11.21,0.12593,0.0,0.70346
C0002,low,3,outcome,7.11,19.04,11.86,0.12831,0.0,0.71142
C0003,low,0,outcome,4.16,14.43,7.41,0.0899,0.0,0.5776
C0004,low,2,outcome,6.59,19.2,11.21,0.12593,0.0,0.70346
C0005,low,3,outcome,4.11,11.02,6.86,0.07428,0.0,0.51796
C0006,low,2,outcome,5.7,16.61,9.7,0.10891,0.0,0.646
C0007,low,2,outcome,4.98,14.53,8.48,0.0953,0.0,0.5977
C0008,low,0,outcome,4.0,13.88,7.12,0.08644,0.0,0.56467
C0010,low,0,outcome,6.4,22.2,11.4,0.1383,0.0,0.74322
C0011,low,2,outcome,4.63,13.49,7.88,0.08849,0.0,0.57262
C0012,low,0,outcome,5.92,20.54,10.54,0.12793,0.0,0.70972
C0013,low,1,outcome,5.58,17.72,9.7,0.11321,0.0,0.66064
C0014,low,0,outcome,4.32,14.98,7.7,0.09335,0.0,0.59034
C0015,low,0,outcome,3.52,12.21,6.27,0.07606,0.0,0.52468
C0016,low,0,outcome,4.32,14.98,7.7,0.09335,0.0,0.59034
C0017,low,0,outcome,4.8,16.65,8.55,0.10372,0.0,0.6276
C0018,low,0,outcome,6.08,21.09,10.83,0.13139,0.0,0.72099
C0019,low,0,outcome,6.24,21.64,11.12,0.13484,0.0,0.73215
C0020,low,2,outcome,5.87,17.13,10.0,0.11232,0.0,0.65773
C0021,low,1,outcome,6.08,19.33,10.58,0.1235,0.0,0.69527
C0023,low,3,outcome,6.54,17.54,10.92,0.11818,0.0,0.6778
C0024,low,2,outcome,3.74,10.9,6.36,0.07147,0.0,0.50657
C0025,low,2,outcome,5.16,15.05,8.79,0.0987,0.0,0.61
C0027,low,2,outcome,6.94,20.24,11.82,0.13274,0.0,0.72567
C0028,low,0,outcome,3.68,12.77,6.55,0.07952,0.0,0.53822
C0029,low,1,outcome,5.58,17.72,9.7,0.11321,0.0,0.66064
