candidate_id,network_group,live_conversations,policy,recommended_apply_hours,recommended_network_hours,recommended_portfolio_hours,expected_weekly_hires_contribution,ev_lower_90,ev_upper_90
C0001,low,2,outcome_naive,7.03,18.32,11.65,0.1246,0.0,0.69927
C0002,low,3,outcome_naive,7.5,18.24,12.26,0.12711,0.0,0.70768
C0003,low,0,outcome_naive,4.55,13.65,7.8,0.08872,0.0,0.57345
C0004,low,2,outcome_naive,7.03,18.32,11.65,0.1246,0.0,0.69927
C0005,low,3,outcome_naive,4.35,10.56,7.1,0.07359,0.0,0.51533
C0006,low,2,outcome_naive,6.08,15.84,10.08,0.10776,0.0,0.64219
C0007,low,2,outcome_naive,5.32,13.86,8.82,0.09429,0.0,0.59421
C0008,low,0,outcome_naive,4.38,13.12,7.5,0.08531,0.0,0.56062
C0010,low,0,outcome_naive,7.0,21.0,12.0,0.1365,0.0,0.73773
C0011,low,2,outcome_naive,4.94,12.87,8.19,0.08755,0.0,0.56929
C0012,low,0,outcome_naive,6.47,19.43,11.1,0.12626,0.0,0.7045
C0013,low,1,outcome_naive,6.02,16.83,10.15,0.11187,0.0,0.65628
C0014,low,0,outcome_naive,4.72,14.18,8.1,0.09214,0.0,0.5861
C0015,low,0,outcome_naive,3.85,11.55,6.6,0.07508,0.0,0.52096
C0016,low,0,outcome_naive,4.72,14.18,8.1,0.09214,0.0,0.5861
C0017,low,0,outcome_naive,5.25,15.75,9.0,0.10237,0.0,0.62305
C0018,low,0,outcome_naive,6.65,19.95,11.4,0.12967,0.0,0.71568
C0019,low,0,outcome_naive,6.83,20.48,11.7,0.13309,0.0,0.72675
C0020,low,2,outcome_naive,6.27,16.34,10.39,0.11113,0.0,0.65385
C0021,low,1,outcome_naive,6.57,18.36,11.07,0.12204,0.0,0.69065
C0023,low,3,outcome_naive,6.91,16.8,11.29,0.11707,0.0,0.67425
C0024,low,2,outcome_naive,3.99,10.39,6.62,0.07072,0.0,0.50366
C0025,low,2,outcome_naive,5.51,14.36,9.13,0.09766,0.0,0.60642
C0027,low,2,outcome_naive,7.41,19.3,12.29,0.13133,0.0,0.72133
C0028,low,0,outcome_naive,4.03,12.07,6.9,0.07849,0.0,0.53439
C0029,low,1,outcome_naive,6.02,16.83,10.15,0.11187,0.0,0.65628
C0030,low,1,outcome_naive,3.83,10.71,6.46,0.07119,0.0,0.50548
C0031,low,1,outcome_naive,4.56,12.75,7.69,0.08475,0.0,0.5586
C0032,low,3,outcome_naive,4.15,10.08,6.77,0.07025,0.0,0.50183
C0033,low,3,outcome_naive,3.95,9.6,6.45,0.0669,0.0,0.48809
C0034,low,3,outcome_naive,6.91,16.8,11.29,0.11707,0.0,0.67425
C0035,low,2,outcome_naive,7.22,18.81,11.97,0.12797,0.0,0.71035
C0036,low,1,outcome_naive,4.75,13.26,8.0,0.08814,0.0,0.57137
C0037,low,3,outcome_naive,5.73,13.92,9.35,0.09701,0.0,0.60418
C0038,low,0,outcome_naive,6.12,18.38,10.5,0.11944,0.0,0.68183
C0039,low,2,outcome_naive,7.6,19.8,12.6,0.1347,0.0,0.73221
C0040,low,2,outcome_naive,7.22,18.81,11.97,0.12797,0.0,0.71035
C0041,low,2,outcome_naive,4.18,10.89,6.93,0.07408,0.0,0.51721
C0042,low,0,outcome_naive,4.9,14.7,8.4,0.09555,0.0,0.59857
C0044,low,3,outcome_naive,5.53,13.44,9.03,0.09366,0.0,0.59201
C0045,low,2,outcome_naive,3.8,9.9,6.3,0.06735,0.0,0.48986
C0046,low,2,outcome_naive,6.84,17.82,11.34,0.12123,0.0,0.68808
C0047,low,1,outcome_naive,4.2,11.73,7.07,0.07797,0.0,0.53247
C0048,low,0,outcome_naive,3.5,10.5,6.0,0.06825,0.0,0.49338
C0049,low,1,outcome_naive,3.65,10.2,6.15,0.0678,0.0,0.49162
C0050,low,0,outcome_naive,4.9,14.7,8.4,0.09555,0.0,0.59857
C0051,low,2,outcome_naive,4.94,12.87,8.19,0.08755,0.0,0.56929
C0052,low,2,outcome_naive,5.7,14.85,9.45,0.10103,0.0,0.61849
C0053,low,2,outcome_naive,7.22,18.81,11.97,0.12797,0.0,0.71035
