candidate_id,network_group,live_conversations,policy,recommended_apply_hours,recommended_network_hours,recommended_portfolio_hours,expected_weekly_hires_contribution,ev_lower_90,ev_upper_90
C0001,low,2,parity,9.25,13.88,13.88,0.11794,0.0,0.67809
C0002,low,3,parity,9.5,14.25,14.25,0.12112,0.0,0.6888
C0003,low,0,parity,6.5,9.75,9.75,0.08288,0.0,0.55244
C0004,low,2,parity,9.25,13.88,13.88,0.11794,0.0,0.67809
C0005,low,3,parity,5.5,8.25,8.25,0.07012,0.0,0.50206
C0006,low,2,parity,8.0,12.0,12.0,0.102,0.0,0.62293
C0007,low,2,parity,7.0,10.5,10.5,0.08925,0.0,0.57654
C0008,low,0,parity,6.25,9.38,9.38,0.07969,0.0,0.54013
C0010,low,0,parity,10.0,15.0,15.0,0.1275,0.0,0.70992
C0011,low,2,parity,6.5,9.75,9.75,0.08288,0.0,0.55244
C0012,low,0,parity,9.25,13.88,13.88,0.11794,0.0,0.67809
C0013,low,1,parity,8.25,12.38,12.38,0.10519,0.0,0.6342
C0014,low,0,parity,6.75,10.12,10.12,0.08606,0.0,0.56457
C0015,low,0,parity,5.5,8.25,8.25,0.07012,0.0,0.50206
C0016,low,0,parity,6.75,10.12,10.12,0.08606,0.0,0.56457
C0017,low,0,parity,7.5,11.25,11.25,0.09562,0.0,0.60002
C0018,low,0,parity,9.5,14.25,14.25,0.12112,0.0,0.6888
C0019,low,0,parity,9.75,14.62,14.62,0.12431,0.0,0.69941
C0020,low,2,parity,8.25,12.38,12.38,0.10519,0.0,0.6342
C0021,low,1,parity,9.0,13.5,13.5,0.11475,0.0,0.66728
C0023,low,3,parity,8.75,13.12,13.12,0.11156,0.0,0.65637
C0024,low,2,parity,5.25,7.88,7.88,0.06694,0.0,0.48894
C0025,low,2,parity,7.25,10.88,10.88,0.09244,0.0,0.58835
C0027,low,2,parity,9.75,14.62,14.62,0.12431,0.0,0.69941
C0028,low,0,parity,5.75,8.62,8.62,0.07331,0.0,0.51495
C0029,low,1,parity,8.25,12.38,12.38,0.10519,0.0,0.6342
C0030,low,1,parity,5.25,7.88,7.88,0.06694,0.0,0.48894
C0031,low,1,parity,6.25,9.38,9.38,0.07969,0.0,0.54013
C0032,low,3,parity,5.25,7.88,7.88,0.06694,0.0,0.48894
C0033,low,3,parity,5.0,7.5,7.5,0.06375,0.0,0.47558
C0034,low,3,parity,8.75,13.12,13.12,0.11156,0.0,0.65637
C0035,low,2,parity,9.5,14.25,14.25,0.12112,0.0,0.6888
C0036,low,1,parity,6.5,9.75,9.75,0.08288,0.0,0.55244
C0037,low,3,parity,7.25,10.88,10.88,0.09244,0.0,0.58835
C0038,low,0,parity,8.75,13.12,13.12,0.11156,0.0,0.65637
C0039,low,2,parity,10.0,15.0,15.0,0.1275,0.0,0.70992
C0040,low,2,parity,9.5,14.25,14.25,0.12112,0.0,0.6888
C0041,low,2,parity,5.5,8.25,8.25,0.07012,0.0,0.50206
C0042,low,0,parity,7.0,10.5,10.5,0.08925,0.0,0.57654
C0044,low,3,parity,7.0,10.5,10.5,0.08925,0.0,0.57654
C0045,low,2,parity,5.0,7.5,7.5,0.06375,0.0,0.47558
C0046,low,2,parity,9.0,13.5,13.5,0.11475,0.0,0.66728
C0047,low,1,parity,5.75,8.62,8.62,0.07331,0.0,0.51495
C0048,low,0,parity,5.0,7.5,7.5,0.06375,0.0,0.47558
C0049,low,1,parity,5.0,7.5,7.5,0.06375,0.0,0.47558
C0050,low,0,parity,7.0,10.5,10.5,0.08925,0.0,0.57654
C0051,low,2,parity,6.5,9.75,9.75,0.08288,0.0,0.55244
C0052,low,2,parity,7.5,11.25,11.25,0.09562,0.0,0.60002
C0053,low,2,parity,9.5,14.25,14.25,0.12112,0.0,0.6888
C0054,low,2,parity,10.0,15.0,15.0,0.1275,0.0,0.70992
C0055,low,2,parity,5.5,8.25,8.25,0.07012,0.0,0.50206
C0056,low,2,parity,10.0,15.0,15.0,0.1275,0.0,0.70992
C0058,low,0,parity,5.25,7.88,7.88,0.06694,0.0,0.48894
C0059,low,3,parity,10.0,15.0,15.0,0.1275,0.0,0.70992
C0060,low,1,parity,6.0,9.0,9.0,0.0765,0.0,0.52764
C0228,low,3,parity,8.25,12.38,12.38,0.10519,0.0,0.6342
C0062,low,2,parity,5.75,8.62,8.62,0.07331,0.0,0.51495
C0063,low,1,parity,6.5,9.75,9.75,0.08288,0.0,0.55244
