candidate_id,network_group,live_conversations,weeks_in_search,hours_available_per_week,visa_constrained,weeks_remaining_on_authorization,portfolio_pieces_deployed_90d,base_conversion_cold,base_conversion_referral
C0001,low,2,2,37,False,,1,0.002,0.03
C0002,low,3,6,38,False,,0,0.002,0.03
C0003,low,0,5,26,False,,2,0.002,0.03
C0004,low,2,7,37,False,,1,0.002,0.03
C0005,low,3,9,22,False,,0,0.002,0.03
C0006,low,2,2,32,True,16,0,0.002,0.03
C0007,low,2,7,28,False,,1,0.002,0.03
C0008,low,0,2,25,False,,1,0.002,0.03
C0009,low,3,2,2,True,7,1,0.002,0.03
C0010,low,0,4,40,True,7,1,0.002,0.03
C0011,low,2,9,26,False,,1,0.002,0.03
C0012,low,0,10,37,True,16,0,0.002,0.03
C0013,low,1,2,33,False,,0,0.002,0.03
C0014,low,0,2,27,False,,1,0.002,0.03
C0015,low,0,11,22,True,20,2,0.002,0.03
C0016,low,0,2,27,False,,0,0.002,0.03
C0017,low,0,9,30,True,10,0,0.002,0.03
C0018,low,0,4,38,False,,0,0.002,0.03
C0019,low,0,4,39,False,,0,0.002,0.03
C0020,low,2,1,33,True,7,0,0.002,0.03
C0021,low,1,8,36,False,,1,0.002,0.03
C0022,high,3,1,25,False,,1,0.002,0.03
C0023,low,3,1,35,True,8,0,0.002,0.03
C0024,low,2,8,21,True,17,0,0.002,0.03
C0025,low,2,8,29,False,,3,0.002,0.03
C0026,low,1,7,25,True,17,1,0.005,0.06
C0027,low,2,3,39,True,13,2,0.002,0.03
C0028,low,0,11,23,False,,1,0.002,0.03
C0029,low,1,10,33,False,,0,0.002,0.03
C0030,low,1,1,21,False,,2,0.002,0.03
C0031,low,1,10,25,False,,1,0.002,0.03
C0032,low,3,1,21,True,2,0,0.002,0.03
C0033,low,3,5,20,False,,0,0.002,0.03
C0034,low,3,7,35,True,2,2,0.002,0.03
C0035,low,2,2,38,True,3,0,0.002,0.03
C0036,low,1,8,26,True,16,1,0.002,0.03
C0037,low,3,3,29,True,18,1,0.002,0.03
C0038,low,0,12,35,False,,0,0.002,0.03
C0039,low,2,1,40,True,20,1,0.002,0.03
C0040,low,2,5,38,True,11,2,0.002,0.03
C0041,low,2,10,22,False,,1,0.002,0.03
C0042,low,0,3,28,True,3,1,0.002,0.03
C0043,mid,3,6,28,True,7,2,0.002,0.03
C0044,low,3,3,28,False,,1,0.002,0.03
C0045,low,2,7,20,True,7,0,0.002,0.03
C0046,low,2,5,36,False,,1,0.002,0.03
C0047,low,1,2,23,True,18,2,0.002,0.03
C0048,low,0,8,20,False,,2,0.002,0.03
C0049,low,1,8,20,False,,1,0.002,0.03
C0050,low,0,12,28,False,,0,0.002,0.03
C0051,low,2,8,26,True,8,3,0.002,0.03
C0052,low,2,9,30,False,,0,0.002,0.03
C0053,low,2,5,38,True,12,2,0.002,0.03
C0054,low,2,8,40,False,,0,0.002,0.03
C0055,low,2,3,22,True,7,0,0.002,0.03
C0056,low,2,2,40,True,18,0,0.002,0.03
C0057,low,1,10,,False,,0,0.002,0.03
C0058,low,0,5,21,False,,1,0.002,0.03
C0059,low,3,7,40,False,,3,0.002,0.03
C0060,low,1,11,24,False,,0,0.002,0.03
C0228,low,3,3,33,True,8,1,0.002,0.03
C0062,low,2,5,23,False,,2,0.002,0.03
C0063,low,1,6,26,True,14,2,0.002,0.03
C0064,low,2,9,28,True,16,1,0.002,0.03
C0065,low,1,12,28,False,,2,0.002,0.03
C0066,low,1,2,25,True,11,1,0.002,0.03
C0067,low,2,5,22,True,12,0,0.002,0.03
C0068,low,2,9,21,True,15,0,0.002,0.03
C0069,low,0,2,32,True,11,1,0.002,0.03
C0070,low,2,2,20,False,,0,0.002,0.03
C0071,low,0,11,26,True,5,1,0.002,0.03
C0072,low,1,11,35,True,6,3,0.002,0.03
C0073,low,1,11,,True,6,3,0.002,0.03
C0074,low,3,10,22,False,,0,0.002,0.03
C0075,low,3,7,28,True,2,3,0.002,0.03
C0076,low,1,12,27,False,,1,0.002,0.03
C0077,low,3,4,24,False,,3,0.002,0.03
C0078,mid,1,6,34,False,,0,0.002,0.03
C0079,low,3,11,22,False,,1,0.002,0.03
C0080,low,1,11,31,True,7,0,0.002,0.03
C0081,mid,7,6,,True,18,2,0.002,0.03
C0082,mid,5,8,25,True,11,0,0.002,0.03
C0083,mid,8,7,22,True,11,3,0.002,0.03
C0084,mid,7,1,21,True,12,0,0.002,0.03
C0085,mid,6,8,38,False,,1,0.002,0.03
C0086,mid,8,5,34,False,,1,0.002,0.03
C0087,mid,4,4,40,True,13,0,0.002,0.03
C0088,mid,4,6,38,True,6,2,0.002,0.03
C0089,mid,8,9,39,True,20,2,0.002,0.03
C0090,mid,6,8,24,False,,0,0.002,0.03
C0091,mid,9,6,27,True,3,0,0.002,0.03
C0092,mid,7,9,40,True,13,0,0.002,0.03
C0093,mid,6,2,23,False,,1,0.002,0.03
C0094,mid,5,2,27,True,14,0,0.002,0.03
C0095,mid,7,4,20,True,17,1,0.002,0.03
C0096,mid,4,11,38,False,,1,0.002,0.03
C0097,mid,4,5,29,True,18,2,0.002,0.03
C0098,low,7,10,25,True,6,2,0.002,0.03
C0099,mid,4,7,39,False,,0,0.002,0.03
C0100,high,9,5,36,False,,0,0.002,0.03
C0101,mid,6,9,24,True,4,1,0.002,0.03
C0102,mid,6,4,33,True,18,0,0.002,0.03
C0103,mid,6,10,40,True,5,3,0.002,0.03
C0104,mid,9,12,39,False,,1,0.002,0.03
C0105,mid,7,4,24,True,5,1,0.002,0.03
C0106,mid,4,7,37,False,,1,0.002,0.03
C0107,mid,9,8,26,True,4,2,0.002,0.03
C0108,mid,7,11,30,True,10,1,0.002,0.03
C0109,mid,7,8,22,True,19,0,0.002,0.03
C0110,mid,5,10,33,True,11,1,0.002,0.03
C0111,mid,9,5,30,False,,2,0.002,0.03
C0112,mid,5,6,20,False,,2,0.002,0.03
C0113,mid,9,9,5,True,7,0,0.002,0.03
C0114,mid,5,4,28,True,18,2,0.002,0.03
C0115,mid,5,8,28,False,,0,0.002,0.03
C0116,mid,6,7,25,False,,2,0.002,0.03
C0117,high,4,5,37,True,6,2,0.002,0.03
C0118,mid,4,8,27,True,17,0,0.002,0.03
C0119,mid,9,12,21,True,10,1,0.002,0.03
C0120,mid,8,5,33,False,,1,0.002,0.03
C0121,mid,8,3,31,True,17,2,0.002,0.03
C0122,mid,7,4,37,False,,1,0.002,0.03
C0123,mid,6,6,33,False,,1,0.002,0.03
C0124,mid,5,2,23,False,,1,0.002,0.03
C0125,mid,8,4,26,False,,1,0.002,0.03
C0126,mid,5,7,30,False,,0,0.002,0.03
C0127,mid,5,1,25,False,,2,0.002,0.03
C0128,mid,6,12,22,True,3,1,0.002,0.03
C0129,mid,6,6,20,False,,3,0.002,0.03
C0130,high,4,6,20,False,,0,0.002,0.03
C0131,mid,6,11,5,True,11,1,0.002,0.03
C0132,mid,8,2,20,False,,0,0.002,0.03
C0133,mid,4,3,36,False,,2,0.002,0.03
C0134,mid,9,8,27,True,6,0,0.005,0.06
C0135,mid,6,11,20,True,10,2,0.002,0.03
C0136,mid,9,10,21,False,,0,0.002,0.03
C0137,mid,6,3,23,False,,2,0.002,0.03
C0177,mid,4,9,34,False,,1,0.002,0.03
C0139,mid,6,9,38,False,,0,0.002,0.03
C0140,high,7,3,34,False,,0,0.002,0.03
C0141,mid,9,9,29,False,,2,0.002,0.03
C0142,mid,5,11,36,False,,0,0.002,0.03
C0143,mid,7,1,35,False,,3,0.002,0.03
C0144,mid,8,4,30,True,20,0,0.002,0.03
C0145,mid,5,11,37,False,,2,0.002,0.03
C0146,mid,5,2,37,False,,1,0.002,0.03
C0147,mid,5,3,38,False,,1,0.002,0.03
C0148,mid,7,12,2,True,16,1,0.002,0.03
C0149,mid,9,12,22,False,,3,0.002,0.03
C0150,mid,9,7,29,False,,0,0.002,0.03
C0151,mid,6,7,5,True,6,2,0.002,0.03
C0152,mid,6,11,22,True,13,1,0.002,0.03
C0153,mid,7,8,23,False,,0,0.002,0.03
C0154,mid,7,5,27,False,,1,0.002,0.03
C0155,mid,5,1,27,False,,0,0.002,0.03
